"","UnixTimeStamp","AverageTxnFee(USD)","AverageTxnFee(Ether)","No.ofERC20TokenTransfers","AvgBlockSize(Bytes)","AvgBlockTime(Secs)","AvgGasLimit","AvgGasPrice(Wei)","DailyNewBlocks","UniqueAddressTotalCount","UniqueAddressReceiveCount","UniqueAddressSentCount","ERC20UniqueAddressTotalCount","ERC20UniqueAddressReceiveCount","ERC20UniqueAddressSentCount","MiningRewards(ETH)","TotalGasUsed","EtherPrice(USD)","TotalTransactions","TotalEthSupply","MarketCap(mlnUSD)","AvgNetworkDifficulty(TH)","AvgNetworkHashRate(GHs)","NetworkTxnFee(ETH)","NetworkUtilization(1=100%)","TotalUncleBlocks"
"1",1438214400,0,0,0,644,4.46,0,0,6912,8894,1,8893,0,0,0,39316.09375,0,0,8893,72049306.59375,0,0.121,11.5297,0,0,1299
"2",1438300800,0,0,0,582,12.58,0,0,6863,0,0,0,0,0,0,36191.71875,0,0,0,72085498.3125,0,0.603,51.4594,0,0,511
"3",1438387200,0,0,0,575,16.34,0,0,5293,0,0,0,0,0,0,27705.9375,0,0,0,72113204.25,0,0.887,57.7845,0,0,334
"4",1438473600,0,0,0,581,16.12,0,0,5358,0,0,0,0,0,0,28223.4375,0,0,0,72141427.6875,0,1.02,67.9224,0,0,394
"5",1438560000,0,0,0,587,16.37,0,0,5280,0,0,0,0,0,0,27976.71875,0,0,0,72169404.40625,0,1.126,74.5737,0,0,443
"6",1438646400,0,0,0,587,16.1,0,0,5368,0,0,0,0,0,0,28478.4375,0,0,0,72197882.84375,0,1.217,82.0352,0,0,458
"7",1438732800,0,0,0,579,16.51,0,0,5235,0,0,0,0,0,0,27528.59375,0,0,0,72225411.4375,0,1.328,86.1558,0,0,371
"8",1438819200,0,0,0,584,16.89,0,0,5116,0,0,0,0,0,0,27075.46875,0,0,0,72252486.90625,0,1.381,88.3326,0,0,411
"9",1438905600,0.05,0,0,633,16.65,122980,604684154870,5189,1087,784,609,0,0,0,27437.65625,49353826,2.77,2050,72279924.5625,200.215391038125,1.471,95.2981,37318413511279304704,0.1317,409
"10",1438992000,0.02,0,0,668,16.44,1940277,322713574989,5256,827,605,477,0,0,0,27943.4375,376006093,0.81,2881,72307868,58.56937308,1.586,104.8971,68099970071856832512,0.0468,458
"11",1439078400,0.01,0,0,618,16.86,3141325,475467129048,5123,733,462,500,0,0,0,27178.28125,38863003,0.74,1329,72335046.28125,53.527934248125,1.709,109.6916,14098949703205591040,0.0024,421
"12",1439164800,0.01,0,0,631,16.44,3141511,421654904254,5255,1002,821,763,0,0,0,27817.34375,74070061,0.68,2037,72362863.625,49.206747265,1.838,120.5988,31165144438378733568,0.0045,415
"13",1439251200,0,0,0,692,16.37,3141521,77838819162,5280,2343,2132,2112,0,0,0,28027.8125,163481740,1.06,4963,72390891.4375,76.73434492375,2.036,134.7695,11311448586019756032,0.0099,438
"14",1439337600,0.02,0,0,653,16.86,3141555,444902379011,5124,907,581,685,0,0,0,27370.9375,70102332,1.25,2036,72418262.375,90.52282796875,2.207,143.0004,32586992404377739264,0.0044,474
"15",1439424000,0.02,0,0,666,16.34,3141552,268683475202,5286,1275,872,993,0,0,0,28268.125,88234087,1.78,2842,72446530.5,128.95482429,2.337,156.6101,24929169109943119872,0.0053,504
"16",1439510400,0.01,0,0,660,14.88,3141575,193455494453,5809,1595,1115,1188,0,0,0,31106.71875,78746522,1.8,3174,72477637.21875,130.45974699375,2.671,196.7576,14354834112827457536,0.0043,555
"17",1439596800,0.01,0,0,638,16.04,3141584,144368937208,5382,1314,857,1064,0,0,0,28512.65625,59565914,1.79,2284,72506149.875,129.78600827625,3.378,227.665,8836593028046850048,0.0035,441
"18",1439683200,0,0,0,641,16.84,3141581,120940093311,5132,1203,765,989,0,0,0,27094.53125,58241191,1.37,2440,72533244.40625,99.3705448365625,3.632,231.8948,6677237924905555968,0.0036,385
"19",1439769600,0,0,0,635,16.16,3141589,132149993345,5347,1250,816,1000,0,0,0,28118.90625,60515132,1.2,2512,72561363.3125,87.073635975,3.908,258.9066,7642811839634956288,0.0036,377
"20",1439856000,0.01,0,0,648,17.46,3141585,146513014268,4948,1295,834,1048,0,0,0,26162.8125,66816413,1.27,2494,72587526.125,92.18615817875,4.378,270.4645,1.1906071340176e+19,0.0043,390
"21",1439942400,0.01,0,0,653,16.64,3141611,194583349948,5192,1351,823,1148,0,0,0,27282.03125,91746712,1.26,3246,72614808.15625,91.494658276875,4.42,284.0496,15430950669480218624,0.0056,361
"22",1440028800,0,0,0,650,21.47,3141608,99011782801,4024,1168,658,992,0,0,0,21057.03125,63112713,1.48,2303,72635865.1875,107.5010804775,4.469,221.4382,6855566942706630656,0.005,257
